News Channel,News Time,News text,Sentiment,Tweet Ago,Tweet ID,neg,neutral,pos
@BBCWorld,2018-07-18 00:03:44+00:00,Trump sheds light on his crucial error at Putin summit https://t.co/gJII3iPhs8,-0.4019,1,1019372108055531520,0.213,0.787,0.0
@BBCWorld,2018-07-17 22:44:22+00:00,Trump sheds light on his crucial error at Putin summit https://t.co/bYiEjhiysB,-0.4019,2,1019352134343675904,0.213,0.787,0.0
@BBCWorld,2018-07-17 22:42:02+00:00,Brazilian plastic surgeon 'Dr Bumbum' on run after patient dies https://t.co/WsrPhZiBDo,0.0,3,1019351549062021120,0.0,1.0,0.0
@BBCWorld,2018-07-17 22:31:46+00:00,Double negative trends after Trump remarks on Russian meddling https://t.co/vK3rMAgESv,-0.5719,4,1019348966092230662,0.291,0.709,0.0
@BBCWorld,2018-07-17 21:58:00+00:00,"RT @BBCSport: ZERO France players?

A combined #WorldCup XI based on your player ratings throughout the tournament: https://t.co/wMbFqKvAFD…",0.0,5,1019340465324339202,0.0,1.0,0.0
@BBCWorld,2018-07-17 21:54:15+00:00,Batwoman: Lesbian comic hero to get TV series https://t.co/jsMRccGfsw,0.5574,6,1019339524248428545,0.0,0.69,0.31
@BBCWorld,2018-07-17 21:49:02+00:00,Eritreans hope for democracy after peace deal with Ethiopia https://t.co/sSRb0UqRhP,0.7506,7,1019338212014256130,0.0,0.556,0.444
@BBCWorld,2018-07-17 21:43:46+00:00,The app changing the dating scene for India's disabled people https://t.co/odDNMvJtHe,0.0,8,1019336884105904134,0.0,1.0,0.0
@BBCWorld,2018-07-17 21:36:13+00:00,Trump immigration policy: My life trapped in an American city https://t.co/bo7XaN0voO,-0.5267,9,1019334985285865472,0.254,0.746,0.0
@BBCWorld,2018-07-17 20:39:19+00:00,Rice paddy cartoons celebrate Japanese artist https://t.co/iZass2QS05,0.5719,10,1019320666955411458,0.0,0.619,0.381
@BBCWorld,2018-07-17 20:19:13+00:00,President Trump reverses his remark on Russia meddling in the US election https://t.co/OBwVGTjUxZ https://t.co/ooAP1QHTFL,0.0,11,1019315605982326801,0.0,1.0,0.0
@BBCWorld,2018-07-17 19:46:18+00:00,Mormon Church cuts ties with Boy Scouts https://t.co/zaR4zyeX2I,-0.296,12,1019307325771919360,0.239,0.761,0.0
@BBCWorld,2018-07-17 19:19:10+00:00,Canadian scientist debunks health hoaxes with viral parody https://t.co/sAcjAixz2V,0.0,13,1019300497495412743,0.0,1.0,0.0
@BBCWorld,2018-07-17 18:57:37+00:00,"RT @awzurcher: As Trump says he has ""full faith and support for America’s intelligence agencies"" the lights in the White House go dark. Lit…",0.8225,14,1019295070586011648,0.0,0.709,0.291
@BBCWorld,2018-07-17 18:51:45+00:00,RT @awzurcher: The White House pool playback of Trump's White House remarks is like some kind of avant garde film project right now. Networ…,0.3612,15,1019293593956225024,0.0,0.902,0.098
@BBCWorld,2018-07-17 18:43:39+00:00,"RT @BBCJamesCook: BREAKING Under intense pressure, accused of treachery, President Trump now says he accepts the conclusion of US intellige…",-0.2023,16,1019291557277691904,0.183,0.667,0.15
@BBCWorld,2018-07-17 18:40:13+00:00,"Trump to redesign Air Force One to be 'red, white and blue' https://t.co/j15I7Ud2rm",0.0,17,1019290691816574977,0.0,1.0,0.0
@BBCWorld,2018-07-17 18:17:12+00:00,Margrethe Vestager - Denmark's EU 'tax lady' taking on corporate giants https://t.co/M5w1ONUUi4,0.0,18,1019284900942352385,0.0,1.0,0.0
@BBCWorld,2018-07-17 17:36:46+00:00,Spain PM Pedro Sanchez promises new law on sexual consent https://t.co/UWAxi2wqc6,0.5423,19,1019274725875429383,0.0,0.667,0.333
@BBCWorld,2018-07-17 16:58:33+00:00,British woman impaled by umbrella on New Jersey beach https://t.co/PICZsaPQhr,0.0,20,1019265107925356544,0.0,1.0,0.0
@BBCWorld,2018-07-17 16:31:07+00:00,Search for man missing after Malin Head boat capsizes https://t.co/MSFTMCcjL4,-0.296,21,1019258205573087232,0.196,0.804,0.0
@BBCWorld,2018-07-17 16:24:32+00:00,Alabama boss gives new employee a car after 20-mile walk https://t.co/wN1WLqBLzE,0.0,22,1019256545794838528,0.0,1.0,0.0
@BBCWorld,2018-07-17 15:32:46+00:00,"Barack Obama: ""Too much of politics today seems to reject the very concept of objective truth"" 

Former US presiden… https://t.co/35nn7Z4btT",-0.1027,23,1019243521377628160,0.117,0.783,0.1
@BBCWorld,2018-07-17 15:25:50+00:00,Trump-Putin summit: US president hails meeting amid outcry https://t.co/LkJttid980,-0.5106,24,1019241773988831232,0.292,0.708,0.0
